Feature Area,Sub-Feature,Route(s),Page Component(s),Status,Backing Store,Auth Status,Logic Issues / Gaps,Error Handling,Loading State,Types,Notes
AUTH,Login,,app/login/PageClient.tsx,COMPLETE,firebase auth + custom backend,withAuth on discovery routes,N/A,setError for 8+ scenarios,Skeleton + spinner,Proper types,Multi-step: role selection email/password Google sign-in
AUTH,Onboarding,,app/onboard/PageClient.tsx,COMPLETE,firebase auth + storage + firestore,withAuth,Hardcoded city "Pune" in profile step,setError per step,Step spinner,Proper types,Email verification phone verification document upload
AUTH,Staff Invite,,app/auth/staff-invite/page.tsx,COMPLETE,firebase auth,withAuth,N/A,formError/success states,Skeleton,Proper types,Password validation inline error display
AUTH,OTP Send,/api/auth/otp/send,app/api/auth/otp/send/route.ts,COMPLETE,firebase auth + twilio,withRateLimit,Rate-limited to 5 reqs,N/A,N/A,N/A,BFF proxy to gateway
AUTH,Check Availability,/api/auth/check-availability,app/api/auth/check-availability/route.ts,COMPLETE,firebase auth,NO AUTH,Missing auth,None,N/A,N/A,Public endpoint intentional
AUTH,Onboarding Progress,/api/auth/onboarding-progress,app/api/auth/onboarding-progress/route.ts,COMPLETE,firestore,NO AUTH,Missing auth,None,N/A,N/A,
VENUE DASHBOARD,Overview,,app/venue/page.tsx + PageClient.tsx,COMPLETE,lib/server stores + firebase,withAuth,N/A,isError booleans,isLoading per query,Proper LIFECYCLE_CONFIG,react-query 3 queries alerts summary events
VENUE DASHBOARD,Alerts,/api/venue/overview/alerts,app/venue/overview/alerts/route.ts,COMPLETE,lib/server stores,NO AUTH,Missing auth,None,N/A,N/A,
VENUE DASHBOARD,Summary,/api/venue/overview/summary,app/venue/overview/summary/route.ts,COMPLETE,lib/server stores,NO AUTH,Missing auth,None,N/A,N/A,
VENUE DASHBOARD,Tonight,/api/venue/overview/tonight,app/venue/overview/tonight/route.ts,PARTIAL,lib/server,NO AUTH,Missing auth uses mock data fallback,None,N/A,N/A,Has mock data fallback
VENUE DASHBOARD,Next Event Intelligence,/api/venue/overview/next-event-intelligence,app/venue/overview/next-event-intelligence/route.ts,COMPLETE,lib/server,NO AUTH,Missing auth,None,N/A,N/A,
VENUE EVENTS,List,,app/venue/events/page.tsx + PageClient.tsx,COMPLETE,lib/server,withAuth,N/A,alert(e.message) - MINOR,isLoading,Filters,Has filters
VENUE EVENTS,Detail,/api/events/[id],app/venue/events/[id]/page.tsx + PageClient.tsx (~4000 lines),COMPLETE,lib/server + firestore,verifyAuth,Heavy :any usage,heroError/isFetching,Skeleton + spinner,Heavy :any,Very large file should be refactored
VENUE EVENTS,Ticket Types,,app/venue/events/[id]/ticket-types,COMPLETE,lib/server,withAuth,No error escape hatch,None,N/A,N/A,
VENUE EVENTS,Team,,app/venue/events/[id]/team,COMPLETE,lib/server,withAuth,No error escape hatch,None,N/A,N/A,
VENUE EVENTS,Settings,,app/venue/events/[id]/settings,COMPLETE,lib/server,withAuth,No error escape hatch,None,N/A,N/A,
VENUE EVENTS,Attendees,,app/venue/events/[id]/attendees,COMPLETE,lib/server,withAuth,No error escape hatch,None,N/A,N/A,
VENUE EVENTS,Analytics,,app/venue/events/[id]/analytics,COMPLETE,lib/server,withAuth,No error escape hatch,None,N/A,N/A,
VENUE EVENTS,Requests,/api/venue/promoter-requests,/app/venue/events/requests/PageClient.tsx,COMPLETE,lib/server,withAuth on venue route NO AUTH on others,setError(true),Skeleton,N/A,
VENUE EVENTS,Promoters,/api/venue/events/[id]/promoters,app/api/venue/events/[id]/promoters/route.ts,PARTIAL,lib/server + firestore,NO AUTH,Missing auth 4 handlers,None,N/A,N/A,GET POST PATCH DELETE all need auth
VENUE EVENTS,Guestlist,/api/events/[id]/guestlist,app/api/events/[id]/guestlist/route.ts,PARTIAL,firestore,NO AUTH,Missing auth,None,N/A,N/A,
VENUE FINANCE,Overview,,app/venue/finance/page.tsx + PageClient.tsx,COMPLETE,lib/server/financeStore.js,withAuth,console.error in catches,setError,spinner,N/A,Multiple API calls via useEffect
VENUE FINANCE,Ledger,/api/finance/payout-config,app/venue/finance/ledger/PageClient.tsx,COMPLETE,lib/server/financeStore.js,verifyAuth,N/A,setError,Skeleton,N/A,Pagination filters search debounce CSV export
VENUE FINANCE,Payout Settings,,app/venue/finance/payouts/PageClient.tsx,COMPLETE,lib/server/payments,withAuth,N/A,isLoading,Skeleton,N/A,Bank account management
VENUE FINANCE,Reports,,app/venue/finance/reports/PageClient.tsx,PARTIAL - STUBBED,lib/server,fetch via effect,Line 94 PDF reports are stubbed via comment,isLoading,Skeleton,N/A,"PDF export explicitly commented as stubbed: implement via reporting service"
VENUE FINANCE,Records (Ledger Section),,app/venue/finance/records/PageClient.tsx,COMPLETE,lib/server/financeStore.js,withAuth,N/A,setError(true),spinner,N/A,Used via FinanceHub tab
VENUE FINANCE,Venue Payouts,,app/venue/finance/venue-payouts/PageClient.tsx,COMPLETE,lib/server,withAuth,N/A,N/A,Skeleton,Proper types,Payout requests list with status config
VENUE FINANCE,Host Payouts,,app/venue/finance/host-payouts/PageClient.tsx,COMPLETE,lib/server,withAuth,N/A,N/A,Skeleton,N/A,Settlement tables
VENUE FINANCE,Promoter Payouts,,app/venue/finance/promoter-payouts/PageClient.tsx,COMPLETE,lib/server,withAuth,N/A,N/A,Skeleton,N/A,Settlement tables
VENUE FINANCE,Partner Payouts,,app/venue/finance/partner-payouts/PageClient.tsx,COMPLETE,lib/server,withAuth,N/A,N/A,Skeleton,N/A,Settlement tables
VENUE FINANCE,Payments,,app/venue/finance/payments/PageClient.tsx,COMPLETE,lib/server,withAuth,N/A,isLoading,N/A,N/A,Payment methods management
VENUE FINANCE,Cover Reconciliation,,app/venue/finance/cover/PageClient.tsx,COMPLETE,lib/server,withAuth,N/A,N/A,Skeleton,N/A,react-query based
VENUE FINANCE,Subscription,,app/venue/finance/subscription/PageClient.tsx,PLACEHOLDER - COMING SOON,N/A,withAuth,No API integration hardcoded plan cards,N/A,N/A,N/A,"""Subscription billing is coming soon"" - hardcoded 'Coming Soon' as price"
VENUE FINANCE,Marketing Spend,,app/venue/finance/marketing/PageClient.tsx,PLACEHOLDER - COMING SOON,N/A,withAuth,No API integration hardcoded metric zeros,N/A,N/A,N/A,"""CRM Marketing spend is coming soon"" - all metrics show 0"
VENUE FINANCE,Revenue Splits,,app/venue/finance/revenue-splits/PageClient.tsx,PLACEHOLDER - COMING SOON,N/A,withAuth,No API integration hardcoded demo values "Rs.1,000",N/A,N/A,N/A,"""Revenue split automation is coming soon"""
VENUE ANALYTICS,Main Dashboard,,app/venue/analytics/page.tsx + PageClient.tsx,COMPLETE,lib/server,withAuth,N/A,N/A,Skeleton,N/A,Charts filters real data
VENUE ANALYTICS,Overview,,app/venue/analytics/overview/page.tsx,REDIRECT - Forwards to /venue/analytics?tab=overview,N/A,N/A,N/A,N/A,N/A,N/A,
VENUE ANALYTICS,Live,,app/venue/analytics/live/page.tsx,COMPLETE,lib/server,withAuth,N/A,N/A,N/A,N/A,
VENUE ANALYTICS,Advanced,,app/venue/analytics/advanced/page.tsx,REDIRECT - Forwards to /venue/analytics?tab=advanced,N/A,N/A,N/A,N/A,N/A,N/A,
VENUE ANALYTICS,Category-based,,app/venue/analytics/[category]/page.tsx,COMPLETE,lib/server,withAuth,N/A,N/A,N/A,N/A,
VENUE ANALYTICS,Host Performance,,app/venue/analytics/hosts/page.tsx,PLACEHOLDER - CONSTRUCTION ICON,N/A,N/A,VenuePlaceholderPage component,N/A,N/A,N/A,Uses construction icon
VENUE ANALYTICS,Event Insights,,app/venue/analytics/events/page.tsx,PLACEHOLDER - CONSTRUCTION ICON,N/A,N/A,VenuePlaceholderPage component,N/A,N/A,N/A,Uses construction icon
VENUE ANALYTICS,Historical Analytics,,app/venue/analytics/history/page.tsx,PLACEHOLDER - CONSTRUCTION ICON,N/A,N/A,VenuePlaceholderPage component,N/A,N/A,N/A,"""Complete Historical Analytics"" is placeholder"
VENUE OPERATIONS,Door Management,,app/venue/door/page.tsx + PageClient.tsx,COMPLETE,lib/server/doorSellStore,withAuth,N/A,N/A,N/A,N/A,Full door with scanning walk-ins registers
VENUE OPERATIONS,Door Sell,,app/venue/door/sell/PageClient.tsx,COMPLETE,lib/server,withAuth,N/A,N/A,N/A,N/A,No page.tsx - used via tab routing
VENUE OPERATIONS,Door Dine-in,,app/venue/door/dinein/PageClient.tsx,COMPLETE,lib/server,withAuth,N/A,N/A,N/A,N/A,No page.tsx
VENUE OPERATIONS,Walk-ins,/api/venue/walk-ins + /api/venue/walk-ins/[eventId],app/venue/walk-ins/PageClient.tsx,COMPLETE,lib/server/walkInStore,NO AUTH,Missing auth on all walk-in routes,setError,Skeleton,N/A,GET POST PATCH DELETE all lack auth
VENUE OPERATIONS,Tables,/api/venue/tables,app/venue/tables/PageClient.tsx,COMPLETE,lib/server,NO AUTH,Missing auth,setError,N/A,N/A,GET POST DELETE all lack auth
VENUE OPERATIONS,Reservations,/api/venue/reservations + /api/venue/reservations/[id],app/venue/reservations/PageClient.tsx,COMPLETE,lib/server/reservationStore,NO AUTH,Missing auth reservationStore has empty catch at line 97-99 (intentional audit log),setError auto-clear,N/A,N/A,CRUD with auto-clear error messages
VENUE OPERATIONS,Registers,/api/venue/registers,app/venue/registers/PageClient.tsx,COMPLETE,lib/server,NO AUTH,Missing auth,N/A,N/A,N/A,Page file redirects to /venue/door?tab=registers
VENUE OPERATIONS,Orders,/api/venue/orders + latest + cancel + resend,app/venue/orders/PageClient.tsx,COMPLETE,lib/server,NO AUTH,Missing auth on all order routes,N/A,N/A,N/A,
VENUE OPERATIONS,Menu,/api/venue/menu,app/venue/menu/page.tsx,REDIRECT - Forwards to /venue/presence?tab=menu,lib/server,NO AUTH,N/A,N/A,N/A,N/A,
VENUE GUEST OPS,Scanner,,app/venue/guest-ops/scanner/PageClient.tsx,REDIRECT,lib/server,withAuth,N/A,N/A,N/A,N/A,Page redirects to /venue/door
VENUE GUEST OPS,List,,app/venue/guest-ops/list/PageClient.tsx,COMPLETE,lib/server,withAuth,N/A,N/A,GuestTableSkeleton,N/A,Infinite scroll isLoadingMore
VENUE GUEST OPS,Rules,,app/venue/guest-ops/rules/PageClient.tsx,COMPLETE,lib/server,withAuth,N/A,N/A,N/A,N/A,
VENUE GUEST OPS,Overview,,app/venue/guest-ops/overview/PageClient.tsx,COMPLETE,lib/server,withAuth,N/A,N/A,N/A,N/A,No page.tsx route
VENUE GUEST OPS,Exceptions,,app/venue/guest-ops/exceptions/PageClient.tsx,COMPLETE,lib/server,withAuth,N/A,N/A,N/A,N/A,No page.tsx route
VENUE GUEST OPS,Door View,,app/venue/guest-ops/door/PageClient.tsx,COMPLETE,lib/server,withAuth,N/A,N/A,N/A,N/A,No page.tsx route
VENUE PARTNERS,Discover/Active/Pending,,app/venue/partners/PageClient.tsx,COMPLETE,lib/server,withAuth,N/A,isError/isLoading,N/A,N/A,
VENUE PARTNERS,Partner Profile,/api/venue/partners/[id],app/venue/partners/[id]/page.tsx,COMPLETE,lib/server,NO AUTH,Missing auth,N/A,N/A,N/A,
VENUE PARTNERS,Partnerships,/api/venue/partnerships,app/venue/partnerships/PageClient.tsx,COMPLETE,lib/server,NO AUTH,Missing auth,setError,N/A,N/A,Page redirects to /venue/partners?tab=active
VENUE PARTNERS,Connections,,app/venue/connections/PageClient.tsx,COMPLETE,lib/server,withAuth,N/A,N/A,N/A,N/A,Page redirects to /venue/partners?tab=discover
VENUE PARTNERS,Requests,/api/venue/promoter-requests/[id],app/venue/connections/requests/page.tsx,REDIRECT - Forwards to /venue/partners?tab=pending,lib/server,NO AUTH,N/A,N/A,N/A,N/A,
VENUE PARTNERS,Active Partners,,app/venue/connections/partners/page.tsx,PLACEHOLDER - CONSTRUCTION ICON,N/A,N/A,VenuePlaceholderPage,N/A,N/A,N/A,"""Active Partners"" is construction icon"
VENUE PARTNERS,Promoter Requests,/api/host/promoter-requests,app/api/host/promoter-requests/route.ts,PARTIAL,lib/server + firestore,NO AUTH,Missing auth,N/A,N/A,N/A,GET PATCH both lack auth
